Covariantiematrix C,,,,
,epsilon mannen,delta mannen,epsilon vrouwen,delta vrouwen
,2.361147096,0.417988212,2.680869365,-0.485650331
delta mannen,0.417988212,0.802141890,0.476563524,0.475121854
epsilon vrouwen,2.680869365,0.476563524,3.488296726,-0.560619773
delta vrouwen,-0.485650331,0.475121854,-0.560619773,1.031687866
,,,,
,,,,
,,,,
Cholesky matrix H,,,,
,epsilon mannen,delta mannen,epsilon vrouwen,delta vrouwen
epsilon mannen,1.536602452,0.272021049,1.744673361,-0.316054638
delta mannen,0.000000000,0.853314971,0.002315260,0.657547784
epsilon vrouwen,0.000000000,0.000000000,0.666638004,-0.016095782
delta vrouwen,0.000000000,0.000000000,0.000000000,0.706519051
