Mannen,,,,,,,,,,
x,A(x),B(x),alpha(x),beta(x),frak-beta(x),,t,K(t),kappa(t),frak-kappa(t)
0,-4.927741512,0.019882002,-0.069222666,0.019237077,0.000000000,,1970,44.504735570,,
1,-7.502434146,0.018167995,-0.021886125,0.003661767,0.000000000,,1971,43.154674260,,
2,-7.959042412,0.019231528,0.054481438,0.022074225,0.000000000,,1972,43.016227926,,
3,-8.205542000,0.020687410,0.011033861,0.017322753,0.000000000,,1973,41.502922314,,
4,-8.390937136,0.021196374,-0.036091418,0.019485117,0.000000000,,1974,39.799587817,,
5,-8.492286263,0.021731954,0.006655560,0.025677002,0.000000000,,1975,39.840616434,,
6,-8.574772106,0.021800186,-0.038536172,0.005701556,0.000000000,,1976,38.671522873,,
7,-8.642884511,0.021989502,-0.032109178,0.034101327,0.000000000,,1977,34.227227895,,
8,-8.682412461,0.020699701,-0.047351358,0.022749643,0.000000000,,1978,34.779773618,,
9,-8.729601933,0.020012197,-0.110198227,0.021342316,0.000000000,,1979,32.630781008,,
10,-8.750237577,0.019066545,-0.003862655,0.018068119,0.000000000,,1980,31.058427781,,
11,-8.681988562,0.017381832,-0.105082729,-0.002978089,0.000000000,,1981,29.481939167,,
12,-8.605870731,0.016141112,-0.020392288,0.040703328,0.000000000,,1982,27.276983926,,
13,-8.479949818,0.015697276,-0.007035879,0.018074709,0.000000000,,1983,26.585716308,-7.500977763,
14,-8.262980145,0.015027147,-0.109781835,0.016471651,0.000000000,,1984,23.042473755,-5.822624377,
15,-7.996234292,0.014609021,-0.173934051,0.015526661,0.000000000,,1985,23.314101712,-5.542055069,
16,-7.623588516,0.015701833,-0.116768961,0.027707790,0.000000000,,1986,20.969305219,-4.257081725,
17,-7.348957809,0.015800540,-0.286822213,0.025089959,0.000000000,,1987,17.149824781,-4.593363734,
18,-7.039245447,0.014134559,-0.473554329,0.026922289,0.000000000,,1988,15.245480418,-3.489259733,
19,-6.969629153,0.013494480,-0.392243134,0.026752323,0.000000000,,1989,13.897422325,-1.608204967,
20,-6.947298356,0.012370693,-0.397897629,0.019308753,0.000000000,,1990,14.002415787,-2.405874580,
21,-6.939201992,0.011723860,-0.395867046,0.014716389,0.000000000,,1991,12.029683395,-2.145684168,
22,-6.951290046,0.011135675,-0.413777262,0.011217608,0.000000000,,1992,9.076013745,-1.536868506,
23,-6.962060966,0.010091737,-0.365079575,0.008147695,0.000000000,,1993,9.222258644,1.341666194,
24,-6.973498605,0.009226990,-0.365218707,0.016406231,0.000000000,,1994,4.912996016,-0.069796361,
25,-6.973361039,0.008630936,-0.377195632,0.001983630,0.000000000,,1995,4.671059052,1.001050250,
26,-6.964937704,0.008331184,-0.366278021,0.017695452,0.000000000,,1996,2.261554516,2.319068225,
27,-6.953715270,0.008313728,-0.418579252,0.004985703,0.000000000,,1997,-1.275848929,1.720809615,
28,-6.930329803,0.007993825,-0.375167668,0.004230411,0.000000000,,1998,-3.307935350,2.639214084,
29,-6.897777508,0.008073285,-0.359942866,0.002419782,0.000000000,,1999,-5.369274070,3.351120366,
30,-6.864288965,0.008039731,-0.385032788,0.013883835,0.000000000,,2000,-8.824561145,4.189678933,
31,-6.821291046,0.007698365,-0.361694808,0.010955085,0.000000000,,2001,-12.078095628,4.410498072,
32,-6.777519037,0.007624303,-0.345252271,-0.000730962,0.000000000,,2002,-13.714078073,5.006591775,
33,-6.728061552,0.007877803,-0.358176555,0.008334261,0.000000000,,2003,-15.123764357,4.613938214,
34,-6.670138184,0.007827355,-0.362540327,0.010854356,0.000000000,,2004,-21.350734699,3.503542752,
35,-6.603376163,0.007916850,-0.349097097,0.004040413,0.000000000,,2005,-23.187026639,3.822188782,
36,-6.533045230,0.008014790,-0.374708753,-0.000900662,0.000000000,,2006,-26.980031000,2.906301851,
37,-6.459108410,0.008281438,-0.358578674,0.007959302,0.000000000,,2007,-29.229195348,1.967654419,
38,-6.380612092,0.008417066,-0.368178446,0.011767563,0.000000000,,2008,-31.317746689,1.022528088,
39,-6.292599464,0.008492710,-0.359557324,0.015759319,0.000000000,,2009,-33.704957368,0.538670725,
40,-6.201510325,0.008695842,-0.361284291,0.007220803,0.000000000,,2010,-36.139427068,0.153191935,
41,-6.113355785,0.008768924,-0.356194796,0.008516975,0.000000000,,2011,-40.182332917,0.063771875,
42,-6.019341239,0.009005929,-0.336732587,0.013478451,0.000000000,,2012,-41.167450610,0.814372350,
43,-5.923468315,0.008992633,-0.333834859,0.015445932,0.000000000,,2013,-42.523620505,-0.420241561,
44,-5.830001095,0.009045908,-0.318286609,0.005828603,0.000000000,,2014,-47.001375992,-1.297532583,
45,-5.730404781,0.009092248,-0.338396395,0.007220750,0.000000000,,2015,-44.851606353,-0.681760307,
