Vrouwen,,,,,,,,,,
x,A(x),B(x),alpha(x),beta(x),frak-beta(x),,t,K(t),kappa(t),frak-kappa(t)
0,-5.163390399,0.020084418,-0.014093895,0.021187868,0.000000000,,1970,47.342677004,,
1,-7.654011105,0.018932959,0.021859444,0.000961451,0.000000000,,1971,45.374057200,,
2,-8.202793227,0.019850745,-0.007588145,-0.006826590,0.000000000,,1972,44.226826421,,
3,-8.445245502,0.020059681,-0.050501788,0.000957861,0.000000000,,1973,42.563553919,,
4,-8.636094172,0.020164295,0.019277243,0.014779016,0.000000000,,1974,40.280869289,,
5,-8.761994731,0.020250839,-0.057103781,-0.002251607,0.000000000,,1975,39.567164314,,
6,-8.824040443,0.019697082,-0.101577143,0.016803256,0.000000000,,1976,37.923627283,,
7,-8.944860652,0.020331162,-0.060971556,0.012333108,0.000000000,,1977,31.945962698,,
8,-8.982424866,0.018393524,-0.126369124,0.014522373,0.000000000,,1978,32.000640676,,
9,-9.023556618,0.017740937,-0.001564358,0.011951888,0.000000000,,1979,29.540758104,,
10,-9.034186367,0.016409428,0.013094214,0.017544420,0.000000000,,1980,27.419488065,,
11,-9.013963816,0.015120301,0.033610469,-0.006121749,0.000000000,,1981,26.188157865,,
12,-8.941916680,0.014726376,0.118933500,-0.002834656,0.000000000,,1982,23.810895447,,
13,-8.847286409,0.013130881,0.103818010,-0.011607214,0.000000000,,1983,22.871047355,-12.168157257,
14,-8.681321589,0.013364015,-0.042626133,0.015276130,0.000000000,,1984,18.303203859,-9.109221241,
15,-8.471916402,0.013746095,-0.106752078,0.013094795,0.000000000,,1985,18.907340804,-9.017827890,
16,-8.275658620,0.014150159,-0.087688872,0.010219468,0.000000000,,1986,16.549809672,-7.533720340,
17,-8.167021357,0.013983861,-0.131692345,0.026329083,0.000000000,,1987,11.948365237,-8.170845650,
18,-7.996099190,0.012206430,-0.259363262,0.000538142,0.000000000,,1988,10.428293910,-7.246037659,
19,-7.989795148,0.011857785,-0.235629092,0.013543004,0.000000000,,1989,9.632474198,-5.332015925,
20,-7.994867698,0.011658005,-0.216054786,0.006791353,0.000000000,,1990,10.410780162,-6.837382055,
21,-8.006179858,0.011469308,-0.184298006,0.007452327,0.000000000,,1991,8.299247278,-5.764628475,
22,-8.005220633,0.011053904,-0.162271732,0.008830851,0.000000000,,1992,4.835414829,-4.673695526,
23,-7.995880675,0.010832205,-0.140596241,0.000139926,0.000000000,,1993,5.501843343,-2.371605418,
24,-7.980534951,0.010945013,-0.192781684,0.002040512,0.000000000,,1994,1.027468907,-1.745553649,
25,-7.944045562,0.010744698,-0.121526762,0.002257681,0.000000000,,1995,0.723968654,-1.841281097,
26,-7.902836618,0.010350488,-0.146350466,0.002707734,0.000000000,,1996,-1.024443655,-0.558133270,
27,-7.856776918,0.010167737,-0.119698334,0.005911122,0.000000000,,1997,-3.865776834,-0.137551213,
28,-7.805022567,0.009906557,-0.090503929,0.008468900,0.000000000,,1998,-5.762151449,0.809117092,
29,-7.740546622,0.009755060,-0.074024124,0.007395952,0.000000000,,1999,-6.788565102,2.549003403,
30,-7.669808304,0.009955939,-0.096452823,0.009358521,0.000000000,,2000,-10.050849845,3.970447614,
31,-7.611491550,0.009771952,-0.066209282,0.000124767,0.000000000,,2001,-12.787789603,4.952525152,
32,-7.527825714,0.009832288,-0.101757626,-0.001105773,0.000000000,,2002,-13.096940625,5.140772161,
33,-7.445482182,0.009726530,-0.044510331,-0.003289777,0.000000000,,2003,-13.502961926,3.949171388,
34,-7.362777981,0.009562320,-0.058697768,0.006567051,0.000000000,,2004,-20.795619625,5.133231014,
35,-7.273310250,0.009592561,-0.076585216,0.004857975,0.000000000,,2005,-21.683035109,3.943958393,
36,-7.188460883,0.009677997,-0.066106294,0.005292784,0.000000000,,2006,-25.106252984,4.678540481,
37,-7.101913296,0.009440372,-0.084245881,0.012701394,0.000000000,,2007,-27.111345025,2.759637656,
38,-7.010576703,0.009407060,-0.076514852,0.009306041,0.000000000,,2008,-27.699947024,3.163096886,
39,-6.912407953,0.009236993,-0.077912444,0.009091560,0.000000000,,2009,-30.220990402,1.876188733,
40,-6.819600333,0.009466665,-0.039921117,0.008147377,0.000000000,,2010,-32.154909803,2.626076376,
41,-6.723784556,0.009135852,-0.045408114,0.012796533,0.000000000,,2011,-36.001392519,4.015940369,
42,-6.625817182,0.009188586,-0.041431789,0.013801619,0.000000000,,2012,-35.270043886,3.865263699,
43,-6.521920230,0.009159025,-0.042180064,0.007027726,0.000000000,,2013,-36.519209550,3.098909605,
44,-6.429356610,0.009046982,-0.030141791,0.015805283,0.000000000,,2014,-41.260773695,3.762473097,
45,-6.331641142,0.008855997,-0.030509641,0.009756734,0.000000000,,2015,-37.886695498,3.689977983,
46,-6.235429626,0.008735196,-0.000450379,0.017555446,0.000000000,,2016,-40.917455795,5.063406622,
47,-6.139381426,0.008753334,-0.003567586,0.017458602,0.000000000,,2017,-41.317473862,4.210305734,
48,-6.045335646,0.008788999,-0.001249602,0.014606752,0.000000000,,2018,-41.705014378,4.665397340,
49,-5.954625484,0.008714225,-0.011185304,0.015630326,0.000000000,,2019,-45.094298295,4.584215867,
50,-5.860538752,0.008577087,-0.029065011,0.017579871,0.000000000,,2020,,,2.869719221
51,-5.779519438,0.008270037,0.003767392,0.016593600,0.000000000,,2021,,,3.016299491
52,-5.690128648,0.008380492,0.015994905,0.014781561,0.000000000,,,,,
53,-5.613715619,0.008225043,-0.005339625,0.017004518,0.000000000,,,,,
